element,decimal_approx,numerator,denominator,support_primes,valuation_vector,selected_primes
165,165.00000000,165,1,"[3, 5, 11]","[0, 1, 1, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
166,166.00000000,166,1,"[2, 83]","[1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
167,167.00000000,167,1,[167],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
168,168.00000000,168,1,"[2, 3, 7]","[3, 1, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
169,169.00000000,169,1,[13],"[0, 0, 0, 0, 0, 2, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
170,170.00000000,170,1,"[2, 5, 17]","[1, 0, 1, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
171,171.00000000,171,1,"[3, 19]","[0, 2, 0, 0, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
172,172.00000000,172,1,"[2, 43]","[2, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
173,173.00000000,173,1,[173],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
174,174.00000000,174,1,"[2, 3, 29]","[1, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
175,175.00000000,175,1,"[5, 7]","[0, 0, 2, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
176,176.00000000,176,1,"[2, 11]","[4, 0, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
177,177.00000000,177,1,"[3, 59]","[0, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
178,178.00000000,178,1,"[2, 89]","[1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
179,179.00000000,179,1,[179],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
180,180.00000000,180,1,"[2, 3, 5]","[2, 2, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
181,181.00000000,181,1,[181],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
182,182.00000000,182,1,"[2, 7, 13]","[1, 0, 0, 1, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
183,183.00000000,183,1,"[3, 61]","[0, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
184,184.00000000,184,1,"[2, 23]","[3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
185,185.00000000,185,1,"[5, 37]","[0, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
186,186.00000000,186,1,"[2, 3, 31]","[1, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
187,187.00000000,187,1,"[11, 17]","[0, 0, 0, 0, 1, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
188,188.00000000,188,1,"[2, 47]","[2, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
189,189.00000000,189,1,"[3, 7]","[0, 3, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
