element,decimal_approx,numerator,denominator,support_primes,valuation_vector,selected_primes
93/32,2.90625000,93,32,"[2, 3, 31]","[-5, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
95/32,2.96875000,95,32,"[2, 5, 19]","[-5, 0, 1, 0, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
97/32,3.03125000,97,32,"[2, 97]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
99/32,3.09375000,99,32,"[2, 3, 11]","[-5, 2, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
101/32,3.15625000,101,32,"[2, 101]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
103/32,3.21875000,103,32,"[2, 103]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
105/32,3.28125000,105,32,"[2, 3, 5, 7]","[-5, 1, 1, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
107/32,3.34375000,107,32,"[2, 107]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
109/32,3.40625000,109,32,"[2, 109]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
111/32,3.46875000,111,32,"[2, 3, 37]","[-5, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
113/32,3.53125000,113,32,"[2, 113]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
115/32,3.59375000,115,32,"[2, 5, 23]","[-5, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
117/32,3.65625000,117,32,"[2, 3, 13]","[-5, 2, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
119/32,3.71875000,119,32,"[2, 7, 17]","[-5, 0, 0, 1, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
121/32,3.78125000,121,32,"[2, 11]","[-5, 0, 0, 0, 2, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
123/32,3.84375000,123,32,"[2, 3, 41]","[-5, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
125/32,3.90625000,125,32,"[2, 5]","[-5, 0, 3, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
127/32,3.96875000,127,32,"[2, 127]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
129/32,4.03125000,129,32,"[2, 3, 43]","[-5, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
131/32,4.09375000,131,32,"[2, 131]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
133/32,4.15625000,133,32,"[2, 7, 19]","[-5, 0, 0, 1, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
135/32,4.21875000,135,32,"[2, 3, 5]","[-5, 3, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
137/32,4.28125000,137,32,"[2, 137]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
139/32,4.34375000,139,32,"[2, 139]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
141/32,4.40625000,141,32,"[2, 3, 47]","[-5, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
143/32,4.46875000,143,32,"[2, 11, 13]","[-5, 0, 0, 0, 1, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
145/32,4.53125000,145,32,"[2, 5, 29]","[-5, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
147/32,4.59375000,147,32,"[2, 3, 7]","[-5, 1, 0, 2, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
149/32,4.65625000,149,32,"[2, 149]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
151/32,4.71875000,151,32,"[2, 151]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
153/32,4.78125000,153,32,"[2, 3, 17]","[-5, 2, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
155/32,4.84375000,155,32,"[2, 5, 31]","[-5, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
157/32,4.90625000,157,32,"[2, 157]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
159/32,4.96875000,159,32,"[2, 3, 53]","[-5, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
161/32,5.03125000,161,32,"[2, 7, 23]","[-5, 0, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
163/32,5.09375000,163,32,"[2, 163]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
165/32,5.15625000,165,32,"[2, 3, 5, 11]","[-5, 1, 1, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
167/32,5.21875000,167,32,"[2, 167]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
169/32,5.28125000,169,32,"[2, 13]","[-5, 0, 0, 0, 0, 2, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
